_Cell,Seq,Chan,Fun,Hxf,Save2Mix,Notes,MxAdd,Shex,MxDatS,MxDat,sAdd,sCon,dAdd,dCon,Function,FunX,ShFunction,ShFunX,Table,ShTable,SigmaKey,Sigma,DspI2c,DspSpi,DspPage,DspAdd,DspAddHex,Checked,DefStr,Type,Neutral,RampProfile,RampMode,RampUpMs,RampDownMs,RampCurve,RampScope
Chan004CompMtr001,1,4,1,,false,Channel compressor gain-reduction meter (comp-only),60,kt,80,,,,,,,,Chan_Mtr,,,,,,,1,1,4623,0x120F,,,,-,,Instant,0,0,Linear,Scalar
Chan005CompMtr001,1,5,1,,false,Channel compressor gain-reduction meter (comp-only),61,ku,80,,,,,,,,Chan_Mtr,,,,,,,1,1,4627,0x1213,,,,-,,Instant,0,0,Linear,Scalar
Chan006CompMtr001,1,6,1,,false,Channel compressor gain-reduction meter (comp-only),62,kv,80,,,,,,,,Chan_Mtr,,,,,,,1,1,4631,0x1217,,,,-,,Instant,0,0,Linear,Scalar
Chan007CompMtr001,1,7,1,,false,Channel compressor gain-reduction meter (comp-only),63,kw,80,,,,,,,,Chan_Mtr,,,,,,,1,1,4635,0x121B,,,,-,,Instant,0,0,Linear,Scalar
Chan008CompMtr001,1,8,1,,false,Channel compressor gain-reduction meter (comp-only),64,lh,80,,,,,,,,Chan_Mtr,,,,,,,1,1,4639,0x121F,,,,-,,Instant,0,0,Linear,Scalar
Chan009CompMtr001,1,9,1,,false,Channel compressor gain-reduction meter (comp-only),65,li,80,,,,,,,,Chan_Mtr,,,,,,,1,1,4643,0x1223,,,,-,,Instant,0,0,Linear,Scalar
Chan010CompMtr001,1,10,1,,false,Channel compressor gain-reduction meter (comp-only),66,lj,80,,,,,,,,Chan_Mtr,,,,,,,1,1,4647,0x1227,,,,-,,Instant,0,0,Linear,Scalar
Chan011CompMtr001,1,11,1,,false,Channel compressor gain-reduction meter (comp-only),67,lk,80,,,,,,,,Chan_Mtr,,,,,,,1,1,4651,0x122B,,,,-,,Instant,0,0,Linear,Scalar
Chan012CompMtr001,1,12,1,,false,Channel compressor gain-reduction meter (comp-only),68,ll,80,,,,,,,,Chan_Mtr,,,,,,,1,1,4655,0x122F,,,,-,,Instant,0,0,Linear,Scalar
Chan013CompMtr001,1,13,1,,false,Channel compressor gain-reduction meter (comp-only),69,lm,80,,,,,,,,Chan_Mtr,,,,,,,1,1,4659,0x1233,,,,-,,Instant,0,0,Linear,Scalar
Chan014CompMtr001,1,14,1,,false,Channel compressor gain-reduction meter (comp-only),70,ln,80,,,,,,,,Chan_Mtr,,,,,,,1,1,4663,0x1237,,,,-,,Instant,0,0,Linear,Scalar
Chan015CompMtr001,1,15,1,,false,Channel compressor gain-reduction meter (comp-only),71,lo,80,,,,,,,,Chan_Mtr,,,,,,,1,1,4667,0x123B,,,,-,,Instant,0,0,Linear,Scalar
Chan016CompMtr001,1,16,1,,false,Channel compressor gain-reduction meter (comp-only),72,lp,80,,,,,,,,Chan_Mtr,,,,,,,1,1,4671,0x123F,,,,-,,Instant,0,0,Linear,Scalar
Chan017CompMtr001,1,17,1,,false,Channel compressor gain-reduction meter (comp-only),73,lq,80,,,,,,,,Chan_Mtr,,,,,,,1,1,4675,0x1243,,,,-,,Instant,0,0,Linear,Scalar
Chan018CompMtr001,1,18,1,,false,Channel compressor gain-reduction meter (comp-only),74,lr,80,,,,,,,,Chan_Mtr,,,,,,,1,1,4679,0x1247,,,,-,,Instant,0,0,Linear,Scalar
Chan019CompMtr001,1,19,1,,false,Channel compressor gain-reduction meter (comp-only),75,ls,80,,,,,,,,Chan_Mtr,,,,,,,1,1,4683,0x124B,,,,-,,Instant,0,0,Linear,Scalar
Chan020CompMtr001,1,20,1,,false,Channel compressor gain-reduction meter (comp-only),76,lt,80,,,,,,,,Chan_Mtr,,,,,,,1,1,4687,0x124F,,,,-,,Instant,0,0,Linear,Scalar
Chan021CompMtr001,1,21,1,,false,Channel compressor gain-reduction meter (comp-only),77,lu,80,,,,,,,,Chan_Mtr,,,,,,,1,1,4691,0x1253,,,,-,,Instant,0,0,Linear,Scalar
Chan022CompMtr001,1,22,1,,false,Channel compressor gain-reduction meter (comp-only),78,lv,80,,,,,,,,Chan_Mtr,,,,,,,1,1,4695,0x1257,,,,-,,Instant,0,0,Linear,Scalar
Chan023CompMtr001,1,23,1,,false,Channel compressor gain-reduction meter (comp-only),79,lw,80,,,,,,,,Chan_Mtr,,,,,,,1,1,4699,0x125B,,,,-,,Instant,0,0,Linear,Scalar
Chan024CompMtr001,1,24,1,,false,Channel compressor gain-reduction meter (comp-only),80,mh,80,,,,,,,,Chan_Mtr,,,,,,,1,1,4703,0x125F,,,,-,,Instant,0,0,Linear,Scalar
Chan001GateMtr001,1,1,1,,false,Channel gate gain-reduction meter (gate-only),81,mi,80,,,,,,,,Chan_Mtr,,,,,,,1,1,4610,0x1202,,,,-,,Instant,0,0,Linear,Scalar
Chan002GateMtr001,1,2,1,,false,Channel gate gain-reduction meter (gate-only),82,mj,80,,,,,,,,Chan_Mtr,,,,,,,1,1,4614,0x1206,,,,-,,Instant,0,0,Linear,Scalar
Chan003GateMtr001,1,3,1,,false,Channel gate gain-reduction meter (gate-only),83,mk,80,,,,,,,,Chan_Mtr,,,,,,,1,1,4618,0x120A,,,,-,,Instant,0,0,Linear,Scalar
Chan004GateMtr001,1,4,1,,false,Channel gate gain-reduction meter (gate-only),84,ml,80,,,,,,,,Chan_Mtr,,,,,,,1,1,4622,0x120E,,,,-,,Instant,0,0,Linear,Scalar
Chan005GateMtr001,1,5,1,,false,Channel gate gain-reduction meter (gate-only),85,mm,80,,,,,,,,Chan_Mtr,,,,,,,1,1,4626,0x1212,,,,-,,Instant,0,0,Linear,Scalar
Chan006GateMtr001,1,6,1,,false,Channel gate gain-reduction meter (gate-only),86,mn,80,,,,,,,,Chan_Mtr,,,,,,,1,1,4630,0x1216,,,,-,,Instant,0,0,Linear,Scalar
Chan007GateMtr001,1,7,1,,false,Channel gate gain-reduction meter (gate-only),87,mo,80,,,,,,,,Chan_Mtr,,,,,,,1,1,4634,0x121A,,,,-,,Instant,0,0,Linear,Scalar
Chan008GateMtr001,1,8,1,,false,Channel gate gain-reduction meter (gate-only),88,mp,80,,,,,,,,Chan_Mtr,,,,,,,1,1,4638,0x121E,,,,-,,Instant,0,0,Linear,Scalar
Chan009GateMtr001,1,9,1,,false,Channel gate gain-reduction meter (gate-only),89,mq,80,,,,,,,,Chan_Mtr,,,,,,,1,1,4642,0x1222,,,,-,,Instant,0,0,Linear,Scalar
Chan010GateMtr001,1,10,1,,false,Channel gate gain-reduction meter (gate-only),90,mr,80,,,,,,,,Chan_Mtr,,,,,,,1,1,4646,0x1226,,,,-,,Instant,0,0,Linear,Scalar
Chan011GateMtr001,1,11,1,,false,Channel gate gain-reduction meter (gate-only),91,ms,80,,,,,,,,Chan_Mtr,,,,,,,1,1,4650,0x122A,,,,-,,Instant,0,0,Linear,Scalar
Chan012GateMtr001,1,12,1,,false,Channel gate gain-reduction meter (gate-only),92,mt,80,,,,,,,,Chan_Mtr,,,,,,,1,1,4654,0x122E,,,,-,,Instant,0,0,Linear,Scalar
Chan013GateMtr001,1,13,1,,false,Channel gate gain-reduction meter (gate-only),93,mu,80,,,,,,,,Chan_Mtr,,,,,,,1,1,4658,0x1232,,,,-,,Instant,0,0,Linear,Scalar
Chan014GateMtr001,1,14,1,,false,Channel gate gain-reduction meter (gate-only),94,mv,80,,,,,,,,Chan_Mtr,,,,,,,1,1,4662,0x1236,,,,-,,Instant,0,0,Linear,Scalar
Chan015GateMtr001,1,15,1,,false,Channel gate gain-reduction meter (gate-only),95,mw,80,,,,,,,,Chan_Mtr,,,,,,,1,1,4666,0x123A,,,,-,,Instant,0,0,Linear,Scalar
Chan016GateMtr001,1,16,1,,false,Channel gate gain-reduction meter (gate-only),96,nh,80,,,,,,,,Chan_Mtr,,,,,,,1,1,4670,0x123E,,,,-,,Instant,0,0,Linear,Scalar
Chan017GateMtr001,1,17,1,,false,Channel gate gain-reduction meter (gate-only),97,ni,80,,,,,,,,Chan_Mtr,,,,,,,1,1,4674,0x1242,,,,-,,Instant,0,0,Linear,Scalar
Chan018GateMtr001,1,18,1,,false,Channel gate gain-reduction meter (gate-only),98,nj,80,,,,,,,,Chan_Mtr,,,,,,,1,1,4678,0x1246,,,,-,,Instant,0,0,Linear,Scalar
Chan019GateMtr001,1,19,1,,false,Channel gate gain-reduction meter (gate-only),99,nk,80,,,,,,,,Chan_Mtr,,,,,,,1,1,4682,0x124A,,,,-,,Instant,0,0,Linear,Scalar
Chan020GateMtr001,1,20,1,,false,Channel gate gain-reduction meter (gate-only),100,nl,80,,,,,,,,Chan_Mtr,,,,,,,1,1,4686,0x124E,,,,-,,Instant,0,0,Linear,Scalar
Chan021GateMtr001,1,21,1,,false,Channel gate gain-reduction meter (gate-only),101,nm,80,,,,,,,,Chan_Mtr,,,,,,,1,1,4690,0x1252,,,,-,,Instant,0,0,Linear,Scalar
Chan022GateMtr001,1,22,1,,false,Channel gate gain-reduction meter (gate-only),102,nn,80,,,,,,,,Chan_Mtr,,,,,,,1,1,4694,0x1256,,,,-,,Instant,0,0,Linear,Scalar
Chan023GateMtr001,1,23,1,,false,Channel gate gain-reduction meter (gate-only),103,no,80,,,,,,,,Chan_Mtr,,,,,,,1,1,4698,0x125A,,,,-,,Instant,0,0,Linear,Scalar
Chan024GateMtr001,1,24,1,,false,Channel gate gain-reduction meter (gate-only),104,np,80,,,,,,,,Chan_Mtr,,,,,,,1,1,4702,0x125E,,,,-,,Instant,0,0,Linear,Scalar
Fx001Mtr001,1,1,1,,false,FX return level meter,105,nq,80,,,,,,,,Chan_Mtr,,,,,,,2,1,1842,0x0732,,,,-,,Instant,0,0,Linear,Scalar
Fx002Mtr001,1,2,1,,false,FX return level meter,106,nr,80,,,,,,,,Chan_Mtr,,,,,,,2,1,1843,0x0733,,,,-,,Instant,0,0,Linear,Scalar
Fx003Mtr001,1,3,1,,false,FX return level meter,107,ns,80,,,,,,,,Chan_Mtr,,,,,,,2,1,1844,0x0734,,,,-,,Instant,0,0,Linear,Scalar
Fx004Mtr001,1,4,1,,false,FX return level meter,108,nt,80,,,,,,,,Chan_Mtr,,,,,,,2,1,1845,0x0735,,,,-,,Instant,0,0,Linear,Scalar
Fx005Mtr001,1,5,1,,false,FX return level meter,109,nu,80,,,,,,,,Chan_Mtr,,,,,,,2,1,1846,0x0736,,,,-,,Instant,0,0,Linear,Scalar
Fx006Mtr001,1,6,1,,false,FX return level meter,110,nv,80,,,,,,,,Chan_Mtr,,,,,,,2,1,1847,0x0737,,,,-,,Instant,0,0,Linear,Scalar
Grp001Mtr001,1,1,1,,false,Group level meter,111,nw,80,,,,,,,,Chan_Mtr,,,,,,,2,1,1837,0x072D,,,,-,,Instant,0,0,Linear,Scalar
Grp002Mtr001,1,2,1,,false,Group level meter,112,oh,80,,,,,,,,Chan_Mtr,,,,,,,2,1,1838,0x072E,,,,-,,Instant,0,0,Linear,Scalar
Grp003Mtr001,1,3,1,,false,Group level meter,113,oi,80,,,,,,,,Chan_Mtr,,,,,,,2,1,1839,0x072F,,,,-,,Instant,0,0,Linear,Scalar
Grp004Mtr001,1,4,1,,false,Group level meter,114,oj,80,,,,,,,,Chan_Mtr,,,,,,,2,1,1840,0x0730,,,,-,,Instant,0,0,Linear,Scalar
MainL001CompAtt001,1,1,1,,,Main L output compressor attack,115,ok,255,,,,,,,,MainComp,,0=0/254=250/[Log],,,,,2,1,1467,0x05BB,,,,-,DynSafe,LinearFrames,6,20,Exp,Scalar
