id,chip,type,label,ch_count,inputs,outputs,spi_page,spi_addr,params,ramp_profile
C1_BUS_FX_05,1,MIX_BUS,FX 5 Bus,1,C1_RTG_01;C1_RTG_02;C1_RTG_03;C1_RTG_04;C1_RTG_05;C1_RTG_06;C1_RTG_07;C1_RTG_08;C1_RTG_09;C1_RTG_10;C1_RTG_11;C1_RTG_12;C1_RTG_13;C1_RTG_14;C1_RTG_15;C1_RTG_16;C1_RTG_17;C1_RTG_18;C1_RTG_19;C1_RTG_20;C1_RTG_21;C1_RTG_22;C1_RTG_23;C1_RTG_24;C1_RTG_25;C1_RTG_26;C1_RTG_27;C1_RTG_28;C1_RTG_29;C1_RTG_30;C1_RTG_31;C1_RTG_32,C1_BUS_FX_05_SEND,1,4794,bus_id=23;source_count=32,
C1_BUS_FX_05_SEND,1,INTERCHIP_SEND,FX 5 Bus Send,1,C1_BUS_FX_05,,-1,-1,sport_id=1;slot=7;global_slot=23;sport_slots=16;signal=BUS_FX_05,
C1_BUS_FX_06,1,MIX_BUS,FX 6 Bus,1,C1_RTG_01;C1_RTG_02;C1_RTG_03;C1_RTG_04;C1_RTG_05;C1_RTG_06;C1_RTG_07;C1_RTG_08;C1_RTG_09;C1_RTG_10;C1_RTG_11;C1_RTG_12;C1_RTG_13;C1_RTG_14;C1_RTG_15;C1_RTG_16;C1_RTG_17;C1_RTG_18;C1_RTG_19;C1_RTG_20;C1_RTG_21;C1_RTG_22;C1_RTG_23;C1_RTG_24;C1_RTG_25;C1_RTG_26;C1_RTG_27;C1_RTG_28;C1_RTG_29;C1_RTG_30;C1_RTG_31;C1_RTG_32,C1_BUS_FX_06_SEND,1,4796,bus_id=24;source_count=32,
C1_BUS_FX_06_SEND,1,INTERCHIP_SEND,FX 6 Bus Send,1,C1_BUS_FX_06,,-1,-1,sport_id=1;slot=8;global_slot=24;sport_slots=16;signal=BUS_FX_06,
C1_BUS_MTX_01,1,MIX_BUS,Matrix 1 Bus,1,C1_RTG_01;C1_RTG_02;C1_RTG_03;C1_RTG_04;C1_RTG_05;C1_RTG_06;C1_RTG_07;C1_RTG_08;C1_RTG_09;C1_RTG_10;C1_RTG_11;C1_RTG_12;C1_RTG_13;C1_RTG_14;C1_RTG_15;C1_RTG_16;C1_RTG_17;C1_RTG_18;C1_RTG_19;C1_RTG_20;C1_RTG_21;C1_RTG_22;C1_RTG_23;C1_RTG_24;C1_RTG_25;C1_RTG_26;C1_RTG_27;C1_RTG_28;C1_RTG_29;C1_RTG_30;C1_RTG_31;C1_RTG_32,C1_BUS_MTX_01_SEND,1,4798,bus_id=37;source_count=32,
C1_BUS_MTX_01_SEND,1,INTERCHIP_SEND,Matrix 1 Bus Send,1,C1_BUS_MTX_01,,-1,-1,sport_id=2;slot=5;global_slot=37;sport_slots=16;signal=BUS_MTX_01,
C1_BUS_MTX_02,1,MIX_BUS,Matrix 2 Bus,1,C1_RTG_01;C1_RTG_02;C1_RTG_03;C1_RTG_04;C1_RTG_05;C1_RTG_06;C1_RTG_07;C1_RTG_08;C1_RTG_09;C1_RTG_10;C1_RTG_11;C1_RTG_12;C1_RTG_13;C1_RTG_14;C1_RTG_15;C1_RTG_16;C1_RTG_17;C1_RTG_18;C1_RTG_19;C1_RTG_20;C1_RTG_21;C1_RTG_22;C1_RTG_23;C1_RTG_24;C1_RTG_25;C1_RTG_26;C1_RTG_27;C1_RTG_28;C1_RTG_29;C1_RTG_30;C1_RTG_31;C1_RTG_32,C1_BUS_MTX_02_SEND,1,4800,bus_id=38;source_count=32,
C1_BUS_MTX_02_SEND,1,INTERCHIP_SEND,Matrix 2 Bus Send,1,C1_BUS_MTX_02,,-1,-1,sport_id=2;slot=6;global_slot=38;sport_slots=16;signal=BUS_MTX_02,
C1_BUS_MTX_03,1,MIX_BUS,Matrix 3 Bus,1,C1_RTG_01;C1_RTG_02;C1_RTG_03;C1_RTG_04;C1_RTG_05;C1_RTG_06;C1_RTG_07;C1_RTG_08;C1_RTG_09;C1_RTG_10;C1_RTG_11;C1_RTG_12;C1_RTG_13;C1_RTG_14;C1_RTG_15;C1_RTG_16;C1_RTG_17;C1_RTG_18;C1_RTG_19;C1_RTG_20;C1_RTG_21;C1_RTG_22;C1_RTG_23;C1_RTG_24;C1_RTG_25;C1_RTG_26;C1_RTG_27;C1_RTG_28;C1_RTG_29;C1_RTG_30;C1_RTG_31;C1_RTG_32,C1_BUS_MTX_03_SEND,1,4802,bus_id=39;source_count=32,
C1_BUS_MTX_03_SEND,1,INTERCHIP_SEND,Matrix 3 Bus Send,1,C1_BUS_MTX_03,,-1,-1,sport_id=2;slot=7;global_slot=39;sport_slots=16;signal=BUS_MTX_03,
C1_BUS_MTX_04,1,MIX_BUS,Matrix 4 Bus,1,C1_RTG_01;C1_RTG_02;C1_RTG_03;C1_RTG_04;C1_RTG_05;C1_RTG_06;C1_RTG_07;C1_RTG_08;C1_RTG_09;C1_RTG_10;C1_RTG_11;C1_RTG_12;C1_RTG_13;C1_RTG_14;C1_RTG_15;C1_RTG_16;C1_RTG_17;C1_RTG_18;C1_RTG_19;C1_RTG_20;C1_RTG_21;C1_RTG_22;C1_RTG_23;C1_RTG_24;C1_RTG_25;C1_RTG_26;C1_RTG_27;C1_RTG_28;C1_RTG_29;C1_RTG_30;C1_RTG_31;C1_RTG_32,C1_BUS_MTX_04_SEND,1,4804,bus_id=40;source_count=32,
C1_BUS_MTX_04_SEND,1,INTERCHIP_SEND,Matrix 4 Bus Send,1,C1_BUS_MTX_04,,-1,-1,sport_id=2;slot=8;global_slot=40;sport_slots=16;signal=BUS_MTX_04,
C1_XS_XFER_CODEC_AUX_L,1,INTERCHIP_SEND,XFER_CODEC_AUX_L Send,1,C1_XIN_CODEC_03,,-1,-1,sport_id=1;slot=9;global_slot=25;sport_slots=16;signal=XFER_CODEC_AUX_L,
C1_XS_XFER_CODEC_AUX_R,1,INTERCHIP_SEND,XFER_CODEC_AUX_R Send,1,C1_XIN_CODEC_04,,-1,-1,sport_id=1;slot=10;global_slot=26;sport_slots=16;signal=XFER_CODEC_AUX_R,
C1_XS_XFER_PI_L,1,INTERCHIP_SEND,XFER_PI_L Send,1,C1_XIN_PI_L,,-1,-1,sport_id=1;slot=11;global_slot=27;sport_slots=16;signal=XFER_PI_L,
C1_XS_XFER_PI_R,1,INTERCHIP_SEND,XFER_PI_R Send,1,C1_XIN_PI_R,,-1,-1,sport_id=1;slot=12;global_slot=28;sport_slots=16;signal=XFER_PI_R,
C1_XS_XFER_SNAKE_01,1,INTERCHIP_SEND,XFER_SNAKE_01 Send,1,C1_XIN_SNK_01,,-1,-1,sport_id=1;slot=13;global_slot=29;sport_slots=16;signal=XFER_SNAKE_01;scope=D32,
C1_XS_XFER_SNAKE_02,1,INTERCHIP_SEND,XFER_SNAKE_02 Send,1,C1_XIN_SNK_02,,-1,-1,sport_id=1;slot=14;global_slot=30;sport_slots=16;signal=XFER_SNAKE_02;scope=D32,
C1_XS_XFER_SNAKE_03,1,INTERCHIP_SEND,XFER_SNAKE_03 Send,1,C1_XIN_SNK_03,,-1,-1,sport_id=1;slot=15;global_slot=31;sport_slots=16;signal=XFER_SNAKE_03;scope=D32,
C1_XS_XFER_SNAKE_04,1,INTERCHIP_SEND,XFER_SNAKE_04 Send,1,C1_XIN_SNK_04,,-1,-1,sport_id=2;slot=0;global_slot=32;sport_slots=16;signal=XFER_SNAKE_04;scope=D32,
C1_XS_XFER_SNAKE_05,1,INTERCHIP_SEND,XFER_SNAKE_05 Send,1,C1_XIN_SNK_05,,-1,-1,sport_id=2;slot=1;global_slot=33;sport_slots=16;signal=XFER_SNAKE_05;scope=D32,
C1_XS_XFER_SNAKE_06,1,INTERCHIP_SEND,XFER_SNAKE_06 Send,1,C1_XIN_SNK_06,,-1,-1,sport_id=2;slot=2;global_slot=34;sport_slots=16;signal=XFER_SNAKE_06;scope=D32,
C1_XS_XFER_SNAKE_07,1,INTERCHIP_SEND,XFER_SNAKE_07 Send,1,C1_XIN_SNK_07,,-1,-1,sport_id=2;slot=3;global_slot=35;sport_slots=16;signal=XFER_SNAKE_07;scope=D32,
C1_XS_XFER_SNAKE_08,1,INTERCHIP_SEND,XFER_SNAKE_08 Send,1,C1_XIN_SNK_08,,-1,-1,sport_id=2;slot=4;global_slot=36;sport_slots=16;signal=XFER_SNAKE_08;scope=D32,
C2_RECV_MAIN_L,2,INTERCHIP_RECV,Main L Recv,1,,C2_MIX_MAIN_L,-1,-1,sport_id=0;slot=0;global_slot=0;sport_slots=16;signal=BUS_MAIN_L,
C2_RECV_MAIN_R,2,INTERCHIP_RECV,Main R Recv,1,,C2_MIX_MAIN_R,-1,-1,sport_id=0;slot=1;global_slot=1;sport_slots=16;signal=BUS_MAIN_R,
C2_RECV_SUB,2,INTERCHIP_RECV,Sub Recv,1,,C2_SUB_FDR,-1,-1,sport_id=0;slot=2;global_slot=2;sport_slots=16;signal=BUS_SUB,
C2_RECV_GRP_01,2,INTERCHIP_RECV,Grp 1 Recv,1,,C2_GRP_FDR_01,-1,-1,sport_id=0;slot=3;global_slot=3;sport_slots=16;signal=BUS_GRP_01,
C2_RECV_GRP_02,2,INTERCHIP_RECV,Grp 2 Recv,1,,C2_GRP_FDR_02,-1,-1,sport_id=0;slot=4;global_slot=4;sport_slots=16;signal=BUS_GRP_02,
C2_RECV_GRP_03,2,INTERCHIP_RECV,Grp 3 Recv,1,,C2_GRP_FDR_03,-1,-1,sport_id=0;slot=5;global_slot=5;sport_slots=16;signal=BUS_GRP_03,
C2_RECV_GRP_04,2,INTERCHIP_RECV,Grp 4 Recv,1,,C2_GRP_FDR_04,-1,-1,sport_id=0;slot=6;global_slot=6;sport_slots=16;signal=BUS_GRP_04,
C2_RECV_AUX_01,2,INTERCHIP_RECV,Aux 1 Recv,1,,C2_MIX_AUX_01,-1,-1,sport_id=0;slot=7;global_slot=7;sport_slots=16;signal=BUS_AUX_01,
C2_RECV_AUX_02,2,INTERCHIP_RECV,Aux 2 Recv,1,,C2_MIX_AUX_02,-1,-1,sport_id=0;slot=8;global_slot=8;sport_slots=16;signal=BUS_AUX_02,
C2_RECV_AUX_03,2,INTERCHIP_RECV,Aux 3 Recv,1,,C2_MIX_AUX_03,-1,-1,sport_id=0;slot=9;global_slot=9;sport_slots=16;signal=BUS_AUX_03,
C2_RECV_AUX_04,2,INTERCHIP_RECV,Aux 4 Recv,1,,C2_MIX_AUX_04,-1,-1,sport_id=0;slot=10;global_slot=10;sport_slots=16;signal=BUS_AUX_04,
C2_RECV_AUX_05,2,INTERCHIP_RECV,Aux 5 Recv,1,,C2_MIX_AUX_05,-1,-1,sport_id=0;slot=11;global_slot=11;sport_slots=16;signal=BUS_AUX_05,
C2_RECV_AUX_06,2,INTERCHIP_RECV,Aux 6 Recv,1,,C2_MIX_AUX_06,-1,-1,sport_id=0;slot=12;global_slot=12;sport_slots=16;signal=BUS_AUX_06,
C2_RECV_AUX_07,2,INTERCHIP_RECV,Aux 7 Recv,1,,C2_MIX_AUX_07,-1,-1,sport_id=0;slot=13;global_slot=13;sport_slots=16;signal=BUS_AUX_07,
C2_RECV_AUX_08,2,INTERCHIP_RECV,Aux 8 Recv,1,,C2_MIX_AUX_08,-1,-1,sport_id=0;slot=14;global_slot=14;sport_slots=16;signal=BUS_AUX_08,
