# d24/dsp.csv — PROPOSED DSP address map for D24.
#
# GENERATED by MW/D32/DSP/gen_dsp.py in the invirco/dsp repo from the
# DSP4 node graph (MW/D32/DSP/SHARC/dsp.csv). Do not hand-edit: an
# address typed here is an address no kernel answers on.
#
# Proposed by dsp, landed by the hub at the gate (PW ruling
# 2026-09-08 #5). defs-v* pin: defs-v2026.09.08.4.
#
# ONE ADDRESS MAP FOR THE WHOLE RANGE (decision D3): the superset
# graph is expanded once and this file is the intersection of that
# expansion with this product's cell set, so a cell two products
# share has the same chip, page and address in both files.
#
# 3974 of 4985 defined cells reach a DSP address.
# The other 1011 are named in dsp-unmapped.csv with the
# reason — every defined cell is in exactly one of the two files.
#
# Columns:
#   _Cell        cell name, as spelled by defs/gen/matrix/<p>-mx-master.csv
#   Node         graph node that owns the address (MW/D32/DSP/SHARC/dsp.csv id)
#   NodeType     that node's type
#   DspSpi       DSP the cell lives on: 1 = DSPA (chip 1), 2 = DSPB (chip 2)
#   DspPage      SPI page
#   DspAdd       SPI word address within the page, decimal
#   DspAddHex    the same address, 0xNNNN
#   Access       rw = host writes it | ro = DSP writes it, host polls | mcu = the word carries no DSP symbol (MCU/host hardware control)
#   RampProfile  named ramp preset, or empty for an un-ramped word
#   RampMode     Instant | Slew | LinearFrames
#   RampUpMs     ramp-up time, ms
#   RampDownMs   ramp-down time, ms
#   RampCurve    Linear | Exp
#   RampScope    Scalar = one word ramps on its own | CoeffSetAtomic = the whole coefficient set swaps together
#   Table        host scaling table for the control range, where one applies
#   Notes        what the word is
_Cell,Node,NodeType,DspSpi,DspPage,DspAdd,DspAddHex,Access,RampProfile,RampMode,RampUpMs,RampDownMs,RampCurve,RampScope,Table,Notes
Aux001Level001,C2_AUX_FDR_01,FADER_PAN,2,1,0,0x0000,rw,GainFast,Slew,3,8,Exp,Scalar,dB:Off:-50@31:-30@63:-10@127:10,
Aux001LimiterAtt001,C2_AUX_LIM_01,LIMITER,2,1,85,0x0055,rw,DynSafe,LinearFrames,6,20,Exp,Scalar,0=0.1/127=100/[Log],
Aux001LimiterOn001,C2_AUX_LIM_01,LIMITER,2,1,83,0x0053,rw,InstantCtl,Instant,0,0,Linear,Scalar,,
Aux001LimiterRel001,C2_AUX_LIM_01,LIMITER,2,1,86,0x0056,rw,DynSafe,LinearFrames,6,20,Exp,Scalar,0=5/127=2000/[Log],
Aux001LimiterThr001,C2_AUX_LIM_01,LIMITER,2,1,84,0x0054,rw,DynSafe,LinearFrames,6,20,Exp,Scalar,0=-30/127=0/[Lin],
Aux001Mtr001,C2_MTR_AUX_01,METER,2,1,1817,0x0719,ro,,Instant,0,0,Linear,Scalar,,meter word +0: linear peak
Aux001Mute001,C2_AUX_FDR_01,FADER_PAN,2,1,2,0x0002,rw,InstantCtl,Instant,0,0,Linear,Scalar,,
Aux001Pan001,C2_AUX_FDR_01,FADER_PAN,2,1,1,0x0001,rw,GainFast,Slew,3,8,Exp,Scalar,Pan:dB:0:Off,
Aux002AntiFbCtrlOn001,C2_AUX_AFB_02,ANTI_FB,2,1,150,0x0096,rw,InstantCtl,Instant,0,0,Linear,Scalar,,
Aux002AntiFbNotchFreq001,C2_AUX_AFB_02,ANTI_FB,2,1,151,0x0097,rw,InstantCtl,Instant,0,0,Linear,Scalar,0=40/127=12000/[Log],
Aux002AntiFbNotchFreq002,C2_AUX_AFB_02,ANTI_FB,2,1,152,0x0098,rw,InstantCtl,Instant,0,0,Linear,Scalar,0=40/127=12000/[Log],
Aux002AntiFbNotchFreq003,C2_AUX_AFB_02,ANTI_FB,2,1,153,0x0099,rw,InstantCtl,Instant,0,0,Linear,Scalar,0=40/127=12000/[Log],
Aux002AntiFbNotchFreq004,C2_AUX_AFB_02,ANTI_FB,2,1,154,0x009A,rw,InstantCtl,Instant,0,0,Linear,Scalar,0=40/127=12000/[Log],
Aux002AntiFbNotchFreq005,C2_AUX_AFB_02,ANTI_FB,2,1,155,0x009B,rw,InstantCtl,Instant,0,0,Linear,Scalar,0=40/127=12000/[Log],
Aux002AntiFbNotchFreq006,C2_AUX_AFB_02,ANTI_FB,2,1,156,0x009C,rw,InstantCtl,Instant,0,0,Linear,Scalar,0=40/127=12000/[Log],
Aux002AntiFbNotchGain001,C2_AUX_AFB_02,ANTI_FB,2,1,157,0x009D,rw,InstantCtl,Instant,0,0,Linear,Scalar,0=-18/127=0/[Lin],
Aux002AntiFbNotchGain002,C2_AUX_AFB_02,ANTI_FB,2,1,158,0x009E,rw,InstantCtl,Instant,0,0,Linear,Scalar,0=-18/127=0/[Lin],
Aux002AntiFbNotchGain003,C2_AUX_AFB_02,ANTI_FB,2,1,159,0x009F,rw,InstantCtl,Instant,0,0,Linear,Scalar,0=-18/127=0/[Lin],
Aux002AntiFbNotchGain004,C2_AUX_AFB_02,ANTI_FB,2,1,160,0x00A0,rw,InstantCtl,Instant,0,0,Linear,Scalar,0=-18/127=0/[Lin],
Aux002AntiFbNotchGain005,C2_AUX_AFB_02,ANTI_FB,2,1,161,0x00A1,rw,InstantCtl,Instant,0,0,Linear,Scalar,0=-18/127=0/[Lin],
Aux002AntiFbNotchGain006,C2_AUX_AFB_02,ANTI_FB,2,1,162,0x00A2,rw,InstantCtl,Instant,0,0,Linear,Scalar,0=-18/127=0/[Lin],
Aux002AntiFbNotchQ001,C2_AUX_AFB_02,ANTI_FB,2,1,163,0x00A3,rw,InstantCtl,Instant,0,0,Linear,Scalar,0=1/127=20/[Log],
Aux002AntiFbNotchQ002,C2_AUX_AFB_02,ANTI_FB,2,1,164,0x00A4,rw,InstantCtl,Instant,0,0,Linear,Scalar,0=1/127=20/[Log],
Aux002AntiFbNotchQ003,C2_AUX_AFB_02,ANTI_FB,2,1,165,0x00A5,rw,InstantCtl,Instant,0,0,Linear,Scalar,0=1/127=20/[Log],
Aux002AntiFbNotchQ004,C2_AUX_AFB_02,ANTI_FB,2,1,166,0x00A6,rw,InstantCtl,Instant,0,0,Linear,Scalar,0=1/127=20/[Log],
Aux002AntiFbNotchQ005,C2_AUX_AFB_02,ANTI_FB,2,1,167,0x00A7,rw,InstantCtl,Instant,0,0,Linear,Scalar,0=1/127=20/[Log],
Aux002AntiFbNotchQ006,C2_AUX_AFB_02,ANTI_FB,2,1,168,0x00A8,rw,InstantCtl,Instant,0,0,Linear,Scalar,0=1/127=20/[Log],
Aux002AntiFbOn001,C2_AUX_AFB_02,ANTI_FB,2,1,149,0x0095,rw,InstantCtl,Instant,0,0,Linear,Scalar,,
Aux002Delay001,C2_AUX_DLY_02,DELAY,2,1,177,0x00B1,rw,InstantCtl,Instant,0,0,Linear,Scalar,0=0/127=250.0/[Log],
Aux002EqFreq001,C2_AUX_EQ_02,EQ_BIQUAD,2,1,94,0x005E,rw,EqSafe,LinearFrames,12,12,Linear,CoeffSetAtomic,0=20/254=200/[Log],Band 1 coeff base
Aux002EqFreq002,C2_AUX_EQ_02,EQ_BIQUAD,2,1,99,0x0063,rw,EqSafe,LinearFrames,12,12,Linear,CoeffSetAtomic,0=100/254=1000/[Log],Band 2 coeff base
Aux002EqFreq003,C2_AUX_EQ_02,EQ_BIQUAD,2,1,104,0x0068,rw,EqSafe,LinearFrames,12,12,Linear,CoeffSetAtomic,0=800/254=5000/[Log],Band 3 coeff base
Aux002EqFreq004,C2_AUX_EQ_02,EQ_BIQUAD,2,1,109,0x006D,rw,EqSafe,LinearFrames,12,12,Linear,CoeffSetAtomic,0=3000/254=20000/[Log],Band 4 coeff base
Aux002EqGain001,C2_AUX_EQ_02,EQ_BIQUAD,2,1,94,0x005E,rw,EqSafe,LinearFrames,12,12,Linear,CoeffSetAtomic,0=-15/60=15/[Lin],Band 1 (same base)
