chip,addr,hex,verdict,role,predicted_mapped,live_mapped,err_delta,unit,cells
2,1117,0x045D,ECHO,CONSUMED,True,True,0,UNDECLARED,
2,1118,0x045E,ECHO,CONSUMED,True,True,0,UNDECLARED,Grp002EqFreq003 Grp002EqGain003 Grp002EqQ003
2,1119,0x045F,ECHO,CONSUMED,True,True,0,UNDECLARED,
2,1120,0x0460,ECHO,CONSUMED,True,True,0,UNDECLARED,
2,1121,0x0461,ECHO,CONSUMED,True,True,0,UNDECLARED,
2,1122,0x0462,ECHO,CONSUMED,True,True,0,UNDECLARED,
2,1123,0x0463,ECHO,CONSUMED,True,True,0,UNDECLARED,Grp002EqFreq004 Grp002EqGain004 Grp002EqQ004 Grp002EqShelf002
2,1124,0x0464,ECHO,CONSUMED,True,True,0,UNDECLARED,
2,1125,0x0465,ECHO,CONSUMED,True,True,0,UNDECLARED,
2,1126,0x0466,ECHO,CONSUMED,True,True,0,UNDECLARED,
2,1127,0x0467,ECHO,CONSUMED,True,True,0,UNDECLARED,
2,1128,0x0468,CLEARED,CONSUMED,True,True,0,UNDECLARED,
2,1129,0x0469,UNMAPPED,UNMAPPED,False,False,4,UNDECLARED,Grp002EqOn001
2,1130,0x046A,UNMAPPED,UNMAPPED,False,False,4,UNDECLARED,
2,1131,0x046B,UNMAPPED,UNMAPPED,False,False,4,UNDECLARED,
2,1132,0x046C,ECHO,CONSUMED,True,True,0,UNDECLARED,Grp002GateOn001
2,1133,0x046D,ECHO,CONSUMED,True,True,0,UNDECLARED,Grp002GateThr001
2,1134,0x046E,ECHO,CONSUMED,True,True,0,UNDECLARED,Grp002GateAtt001
2,1135,0x046F,ECHO,CONSUMED,True,True,0,UNDECLARED,Grp002GateHold001
2,1136,0x0470,ECHO,CONSUMED,True,True,0,UNDECLARED,Grp002GateRel001
2,1137,0x0471,ECHO,CONSUMED,True,True,0,UNDECLARED,Grp002GateRng001
2,1138,0x0472,ECHO,INERT,True,True,0,UNDECLARED,Grp002GateKey001
2,1139,0x0473,ECHO,INERT,True,True,0,UNDECLARED,Grp002GateDetSrc001
2,1140,0x0474,ECHO,CONSUMED,True,True,0,UNDECLARED,Grp002GateFilterOn001
2,1141,0x0475,ECHO,CONSUMED,True,True,0,UNDECLARED,Grp002GateFilterHpf001 Grp002GateFilterQ001
2,1142,0x0476,ECHO,CONSUMED,True,True,0,UNDECLARED,
2,1143,0x0477,ECHO,CONSUMED,True,True,0,UNDECLARED,
2,1144,0x0478,ECHO,CONSUMED,True,True,0,UNDECLARED,
2,1145,0x0479,ECHO,CONSUMED,True,True,0,UNDECLARED,
2,1146,0x047A,ECHO,CONSUMED,True,True,0,UNDECLARED,Grp002GateFilterLpf001
2,1147,0x047B,ECHO,CONSUMED,True,True,0,UNDECLARED,
2,1148,0x047C,ECHO,CONSUMED,True,True,0,UNDECLARED,Grp002CompOn001
2,1149,0x047D,ECHO,CONSUMED,True,True,0,UNDECLARED,Grp002CompThr001
2,1150,0x047E,ECHO,CONSUMED,True,True,0,UNDECLARED,Grp002CompRat001
2,1151,0x047F,ECHO,CONSUMED,True,True,0,UNDECLARED,Grp002CompAtt001
2,1152,0x0480,ECHO,CONSUMED,True,True,0,UNDECLARED,Grp002CompRel001
2,1153,0x0481,ECHO,CONSUMED,True,True,0,UNDECLARED,Grp002CompMake001
2,1154,0x0482,ECHO,CONSUMED,True,True,0,UNDECLARED,Grp002CompKnee001
2,1155,0x0483,ECHO,CONSUMED,True,True,0,UNDECLARED,Grp002CompPar001
2,1156,0x0484,ECHO,INERT,True,True,0,UNDECLARED,Grp002CompType001
2,1157,0x0485,ECHO,INERT,True,True,0,UNDECLARED,Grp002CompKey001
2,1158,0x0486,ECHO,INERT,True,True,0,UNDECLARED,Grp002CompDetSrc001
2,1159,0x0487,ECHO,INERT,True,True,0,UNDECLARED,Grp002CompLimMode001
