pin,rtl_name,fitter_dir,net,boards,active_devices_besides_U3,connector_pins
17,GNDINT,gnd,GND,dsp;digital;analog;rswitch;lswitch;phonejack;minijack;hdmifpc;p1;opt1;opt2;opt3,(rail),-
18,fsi[3],output,FSI3,dsp,dsp:U6.64 (via dsp:R54),-
19,VCCINT,power,+1V8.00179,dsp,dsp:U2.2; dsp:U5.7; dsp:U5.79; dsp:U6.7; dsp:U6.79,"dsp:C10.1, dsp:C103.1, dsp:C104.1, dsp:C105.1, dsp:C106.1, dsp:C107.1, dsp:C11.1, dsp:C146.1, dsp:C189.1, dsp:C190.1, dsp:C191.1, dsp:C192.1, dsp:C193.1, dsp:C60.1, dsp:C8.1, dsp:C9.1"
20,bcki[0],output,BCKI0,dsp,dsp:U6.54 (via dsp:R39),-
21,bcki[1],output,BCKI1,dsp,dsp:U6.55 (via dsp:R49),-
22,bcki[2],output,BCKI2,dsp,dsp:U6.65 (via dsp:R55),-
23,bcki[3],output,BCKI3,dsp,dsp:U6.63 (via dsp:R36),-
24,i_dspa[0],output,I0,dsp,dsp:U6.41 (via dsp:R48),-
25,VCCIO1,power,+3V3,dsp;digital,(rail),-
26,GNDIO,gnd,GND,dsp;digital;analog;rswitch;lswitch;phonejack;minijack;hdmifpc;p1;opt1;opt2;opt3,(rail),-
27,i_dspa[1],output,I1,dsp,dsp:U6.43 (via dsp:R46),-
28,i_dspa[2],output,I2,dsp,dsp:U6.47 (via dsp:R44),-
29,i_dspa[3],output,I3,dsp,dsp:U6.49 (via dsp:R42),-
30,fsi[4],output,FSI4,dsp,dsp:U5.53 (via dsp:R7),-
31,fsi[5],output,FSI5,dsp,dsp:U5.56 (via dsp:R2),-
32,fsi[6],output,FSI6,dsp,dsp:U5.66 (via dsp:R24),-
33,TMS,input,PI_TMS,dsp;digital,NONE,"dsp:J3.22, dsp:J4.22, dsp:J6.18, digital:J17.22, digital:J24.41"
34,TDI,input,PI_TDI,dsp;digital,NONE,"dsp:J3.21, dsp:J4.21, dsp:J6.16, digital:J17.21, digital:J24.47"
35,TCK,input,PI_TCK,dsp;digital,NONE,"dsp:J3.19, dsp:J4.19, dsp:J6.22, digital:J17.19, digital:J24.37"
36,TDO,output,LOGIC_TDO_,dsp,dsp:U1.2,-
37,fsi[7],output,FSI7,dsp,dsp:U5.64 (via dsp:R21),-
38,bcki[4],output,BCKI4,dsp,dsp:U5.54 (via dsp:R6),-
39,bcki[5],output,BCKI5,dsp,dsp:U5.55 (via dsp:R16),-
40,bcki[6],output,BCKI6,dsp,dsp:U5.65 (via dsp:R23),-
41,bcki[7],output,BCKI7,dsp,dsp:U5.63 (via dsp:R3),-
42,i_dspa[4],output,I4,dsp,dsp:U6.77 (via dsp:R64),-
43,i_dspa[5],output,I5,dsp,dsp:U6.75 (via dsp:R62),-
44,i_dspa[6],output,I6,dsp,dsp:U6.73 (via dsp:R60),-
45,i_dspa[7],output,I7,dsp,dsp:U6.71 (via dsp:R58),-
46,VCCIO4,power,+3V3,dsp;digital,(rail),-
47,GNDIO,gnd,GND,dsp;digital;analog;rswitch;lswitch;phonejack;minijack;hdmifpc;p1;opt1;opt2;opt3,(rail),-
48,o_dspb[0],input,O0,dsp,dsp:U5.42 (via dsp:R14),-
49,o_dspb[1],input,O1,dsp,dsp:U5.46 (via dsp:R12),-
50,o_dspb[2],input,O2,dsp,dsp:U5.48 (via dsp:R10),-
51,o_dspb[3],input,O3,dsp,dsp:U5.52 (via dsp:R8),-
52,o_dspb[4],input,O4,dsp,dsp:U5.76 (via dsp:R31),-
53,o_dspb[5],input,O5,dsp,dsp:U5.74 (via dsp:R29),-
54,GNDINT,gnd,GND,dsp;digital;analog;rswitch;lswitch;phonejack;minijack;hdmifpc;p1;opt1;opt2;opt3,(rail),-
55,o_dspb[6],input,O6,dsp,dsp:U5.72 (via dsp:R27),-
56,VCCINT,power,+1V8.00179,dsp,dsp:U2.2; dsp:U5.7; dsp:U5.79; dsp:U6.7; dsp:U6.79,"dsp:C10.1, dsp:C103.1, dsp:C104.1, dsp:C105.1, dsp:C106.1, dsp:C107.1, dsp:C11.1, dsp:C146.1, dsp:C189.1, dsp:C190.1, dsp:C191.1, dsp:C192.1, dsp:C193.1, dsp:C60.1, dsp:C8.1, dsp:C9.1"
57,o_dspb[7],input,O7,dsp,dsp:U5.70 (via dsp:R25),-
58,RESERVED_INPUT_WITH_WEAK_PULLUP,:,BLINK,dsp,dsp:U5.36; dsp:U6.36; dsp:U8.48,-
59,blink_led,output,LOGIC_BLINK_LED,dsp,NONE,-
60,RESERVED_INPUT_WITH_WEAK_PULLUP,:,SPI0,dsp;digital,dsp:U6.19** (via dsp:R73); dsp:U5.19** (via dsp:R76); dsp:U7.21; (rail) (via digital:R109),"dsp:J3.80, dsp:J4.80, dsp:J6.23, digital:J17.80"
61,RESERVED_INPUT_WITH_WEAK_PULLUP,:,SPI1,dsp;digital;analog,dsp:U6.15** (via dsp:R74); dsp:U5.15** (via dsp:R77); dsp:U7.23; analog:U3.29 (via analog:R22); analog:U34.14,"dsp:J3.81, dsp:J4.81, dsp:J6.19, digital:J17.81, digital:J24.44, digital:J41.17, analog:J58.17"
62,RESERVED_INPUT_WITH_WEAK_PULLUP,:,CS_L,dsp,dsp:U7.55,-
63,pcm_din,output,PI_PCM_DIN,dsp;digital,NONE,"dsp:J3.25, dsp:J4.25, dsp:J6.38, digital:J17.25, digital:J24.27"
64,VCCIO4,power,+3V3,dsp;digital,(rail),-
65,GNDIO,gnd,GND,dsp;digital;analog;rswitch;lswitch;phonejack;minijack;hdmifpc;p1;opt1;opt2;opt3,(rail),-
66,RESERVED_INPUT_WITH_WEAK_PULLUP,:,LOGIC_BUSY,dsp;digital;rswitch;lswitch,(rail) (via dsp:R72); dsp:U7.59; dsp:U8.1; rswitch:U1.59; lswitch:U4.59,"dsp:J3.65, dsp:J4.65, digital:J12.19, digital:J13.19, digital:J17.65, rswitch:J1.19, lswitch:J1.19"
67,RESERVED_INPUT_WITH_WEAK_PULLUP,:,M MCU_S7,dsp,dsp:U8.16,-
68,RESERVED_INPUT_WITH_WEAK_PULLUP,:,M MCU_S6,dsp,dsp:U8.15,-
69,RESERVED_INPUT_WITH_WEAK_PULLUP,:,M MCU_S5,dsp,dsp:U8.12,-
70,RESERVED_INPUT_WITH_WEAK_PULLUP,:,M MCU_S4,dsp,dsp:U8.11,-
